 ,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (MPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_2,,,0,"0,9",21,"9,8",,,A-1-a,,,100,2204,"0,6","-0,1","0,94",309,,,,Base,USCS: GW. Maior empacotamento devido à variação granulométrica.
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_3,,,0,"2,1","15,8",0,,,A-1-a,,,100,1548,"0,63","-0,26","0,92",161,,,,Base,Material Open-Graded (OGDC). USCS: GP. OMC zero devido a compactação a seco.
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_4,,,0,"2,8","20,5","9,3",,,A-1-a,,,100,1096,"0,72","-0,18","0,94",169,,,,Base,Material denso. USCS: GW.
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_5,,,0,2,"21,1","9,4",,,A-1-a,,,100,1897,"0,83","-0,66","0,96",268,,,,Base,O estudo PCA demonstrou que finos menores que 5% aumentam a rigidez (MR).
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_6,,,0,"3,3",21,"8,4",,,A-1-a,,,100,2101,"0,65","-0,35","0,96",244,,,,Base,USCS: GP. Fator aresta/forma dos grãos contribuiu para boa rigidez.
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_7,,,0,"5,8","20,5","10,2",,,A-1-a,,,100,1825,"0,65","-0,11","0,9",206,,,,Base,USCS: GW-GM.
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_8,,,0,"2,7","20,2",11,,,A-1-a,,,100,1579,"0,89","-0,63","0,96",238,,,,Base,USCS: GW.
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_9,,,0,"3,1","21,2","8,6",,,A-1-a,,,100,2209,"0,62","-0,11","0,94",303,,,,Base,"Um dos maiores valores de MDD da pesquisa (21,2 kN/m³). USCS: GW."
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_10,,,0,"11,6","20,1","10,9",,,A-1-a,,,100,1808,"0,63","-0,13","0,92",238,,,,Base,"Alta quantidade de finos (11,6%). USCS: GM."
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_11,,,0,"0,4","20,8","8,2",,,A-1-a,,,100,1619,"0,86","-0,5","0,97",213,,,,Base,"Mistura com menor teor de finos da pesquisa (0,4%). USCS: GP-GM."
10.1080/10298436.2025.2532697,RCA,EUA,Triturado,Modelo de Witczak,RCA_12,,,0,"8,7",21,"9,4",,,A-1-a,,,100,1339,"0,76","-0,12","0,95",200,,,,Base,USCS: GW.
10.1080/10298436.2025.2532697,Agregado Natural (GM),EUA,Natural,Modelo de Witczak,GM_1,,,0,"7,3","22,2","7,8",,,A-1-b,,,100,1562,"0,85","-0,9","0,95",209,,,,Base,Agregado virgem para comparação. USCS: SM.
10.1080/10298436.2025.2532697,Agregado Natural (GM),EUA,Natural,Modelo de Witczak,GM_2,,,0,"4,8","21,7","7,5",,,A-1-a,,,100,1223,"0,91","-0,9","0,96",159,,,,Base,Agregado virgem. USCS: SP.
10.1080/10298436.2025.2532697,Agregado Natural (GM),EUA,Natural,Modelo de Witczak,GM_3,,,0,"6,4","22,3",7,,,A-1-a,,,100,1159,"0,9","-0,72","0,97",161,,,,Base,Agregado virgem. USCS: SP-SM.
10.1080/10298436.2025.2532697,Agregado Natural (GM),EUA,Natural,Modelo de Witczak,GM_4,,,0,"5,9","23,3","5,3",,,A-1-a,,,100,1539,"0,73","-0,62","0,91",239,,,,Base,"Agregado virgem. USCS: SP-SM. Apresentou o maior MDD global do estudo (23,3 kN/m³)."
10.1080/10298436.2025.2532697,Agregado Natural (GM),EUA,Natural,Modelo de Witczak,GM_5,,,0,"16,2","22,4","5,2",,,A-1-b,,,100,1465,"0,86","-0,45","0,94",207,,,,Base,"Agregado virgem. USCS: SM. Possui a maior concentração de finos do estudo (16,2%)."
